sLxdName;sElement;sId;sLabel;sParamGl;sParamLr
btnCountry;btn;SR;Surinam;SR;nl
btnCountry;btn;SZ;Svazijsko;SZ;en
btnCountry;btn;SY;Sýrie;SY;ar
btnCountry;btn;SB;Šalamounovy ostrovy;SB;en
btnCountry;btn;ES;Španělsko;ES;es
btnCountry;btn;SE;Švédsko;SE;sv
btnCountry;btn;CH;Švýcarsko;CH;de
btnCountry;btn;TJ;Tádžikistán;TJ;tg
btnCountry;btn;TZ;Tanzanie;TZ;en
btnCountry;btn;TH;Thajsko;TH;th
btnCountry;btn;TG;Togo;TG;fr
btnCountry;btn;TO;Tonga;TO;en
btnCountry;btn;TT;Trinidad a Tobago;TT;en
btnCountry;btn;TN;Tunisko;TN;ar
btnCountry;btn;TR;Turecko;TR;tr
btnCountry;btn;TM;Turkmenistán;TM;tk
btnCountry;btn;TV;Tuvalu;TV;en
btnCountry;btn;UG;Uganda;UG;en
btnCountry;btn;UA;Ukrajina;UA;uk
btnCountry;btn;UY;Uruguay;UY;es
btnCountry;btn;US;USA;US;en
btnCountry;btn;UZ;Uzbekistán;UZ;uz
btnCountry;btn;VU;Vanuatu;VU;en
btnCountry;btn;VA;Vatikán;VA;it
btnCountry;btn;UK;Velká Británie;UK;en
btnCountry;btn;VE;Venezuela;VE;es
btnCountry;btn;VN;Vietnam;VN;vi
btnCountry;btn;TL;Východní Timor;TL;pt
btnCountry;btn;ZM;Zambie;ZM;en
btnCountry;btn;ZW;Zimbabwe;ZW;en
btnCountry;btn;HL;Horní Lužice;HL;hsb
btnCountry;btn;DL;Dolní Lužice;DL;dsb
btnCountry;btn;CX;Češi v zahraničí;CX;cs
